D11GemeenteStraat;JAAR bevraging;Storyfragment (Vertel iets over je straat?);TitelVerhaal;M1_Raad je het aan om in jouw straat te komen wonen?;M2_ThemaInVerhaal?_De infrastructuur / inrichting van de straat;M2Thema_De verkeerssituatie;M2Thema_De sociale contacten en activiteiten;M2Thema_Het (on)veiligheidsgevoel;M2Thema_Omgevingsfactoren door mensen;M2Thema_Omgevingsfactoren door klimaat;M2Thema_De bereikbaarheid van voorzieningen;M3_Wat is het gevoel over jouw straat?;D9_Hoeveel invloed heb jij om de leefbaarheid in je straat te beinvloeden? (schaal 0 tot 1);10. Hoe lang wil je in de straat wonen?_Clustered;L1_ScoreLeefbaarheid_ThemaInrichtingvan de straat;L1_ScoreLeefbaarheid_Sociaal;L1_ScoreLeefbaarheid_Omgevingsfactoren;L1_ScoreLeefbaarheid_Verkeersaspecten;16. Geslacht;17. Leeftijd;ModalSplitKLasse van de straat (niet gemotoriseerd verkeer/gemotoriseerde voertuigen);
Adamstraat /  Geraardsbergen;2021;De respondent koos ervoor om zijn verhaal niet publiek te delen;Het begin van het leven ... de Adamstraat;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Negatief;0,99;Niet verhuizen;0,298;0,164;0,276;0,114;Man;40 tot 64 jaar;75/25;
Adamstraat /  Geraardsbergen;2022;Niet komen, wegens te druk;De drukste straat van de stad;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;;;;Positief;0,3;Niet verhuizen;0,46;0,62;0,57;0,42;Man;+65 jaar;75/25;
Admiraal De Boisotstraat /  Antwerpen;2020;Toffe buren.;Vriendenstraat;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,80464524;Niet verhuizen;0,46;0,62;0,57;0,42;Man;40 tot 64 jaar;50/50;
Admiraal De Boisotstraat /  Antwerpen;2021;Rustige straat in een bruisende culturele buurt waar nog hart wordt gewerkt aan de (her)aanleg van parken en straten. De buren zeggen nog dag tegen elkaar. De winkel is om de hoek en de terrasjes laten ons genieten.De auto staat nog te centraal en staat in voor sluipverkeer en veroorzaakt weekendfiles en parkeerproblemen voor bewoners.;Een dorpje in de stad.;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Positief;0,5;Niet verhuizen;0,34;0,55;0,46;0,41;Vrouw;40 tot 64 jaar;75/25;
Admiraal de Boisotstraat /  Antwerpen;2022;Een aangename straat door de sfeer tussen buren, met sommige heb je direct contact, anderen houden zich meer afzijdig maar in het algemeen is het makkelijk om hier mensen te leren kennen of om hulp te vragen.   Daarnaast is er de ligging: midden in een buurt vol horeca (terrassen, koffiehuizen, bistro's, cafÃ©'s, restaurants, â€¦)  en kunst (museums, galeries, â€¦) en makkelijke verkeersverbindingen (tramlijnen, busroutes, velo-stations, nabijheid oprit autosnelweg). Verschillende speeltuinterreintjes, de vele scholen, de tuin (in aanleg) rond het museum KMSKA maken het ook kind- en mensvriendelijker. Gek genoeg hebben we in onze stadstuin quasi geen last van grote achtergrond ruis aan stadsgeluiden (verkeer in de straten en op de ring, overvliegende vliegtuigen, â€¦)   Nadelig zijn de steeds stijgende woningprijzen. Het lijkt voor vele jonge gezinnen onmogelijk om hier een woning te vinden.   We weten ook niet hoe de buurt verder zal veranderen als de grote ruimte op de gedempte zuiderdokken gerenoveerd is en als onze straat heraangelegd word met bomen en parkeervakken. Noch wat het effect is van de nieuwe tuin rond het museum die nu ook nog in opbouw is. Zal dat veel mensen van buiten de buurt lokken? Momenteel is er veel overlast door het restvuil dat feestvierder achterlaten op het nabije plein voor het museum, hopelijk verdwijnt dat post-corona.     ;Een aangename maar dure straat in een levendige stadsbuurt;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,55;Niet verhuizen;0,354;0,734;0,692;0,596;Man;+65 jaar;50/50;
Aerschotstraat /  Sint-Niklaas;2020;De buurtwerking is hier heel goed georganiseerd, wat een aangename en verzorgende omgeving brengt. Maar aan de infrastructuur van de straat kan er nog veel verbeteren. Zo is de straat gelegen in een zone 30, is ze kaarsrecht zonder zijstraten van rechts waardoor er flink doorgereden wordt. Dus als je overweegt te verhuizen, wacht tot hopelijk de snelheidsremmers geplaatst worden en de straat een update gekregen heeft.;Voor sfeer en ligging een dikke ...voor leefbaarheid een magere ..;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0,14267111;Geen mening;0,18;0,56;0,31;0,17;Man;40 tot 64 jaar;75/25;
Aerschotstraat /  Sint-Niklaas;2021;Er is onvoldoende parkeergelegenheid. Zeker s avonds als je terugkomt van je werk. Boetes worden bij de minste gelegenheid uitgeschreven (wonen dan ook vlak bij politiebureau) ... om boodschappen uit te laden krijg je al mondelinge opmerkingen als je op straat staat... veel straatlawaai, en heel veel afval dumping aan de glascontainer(wordt wel snel opgeruimd);Geen parkeergelegenheid!!!;Ik raad heel erg af om in mijn straat te komen wonen;De infrastructuur / inrichting van de straat;;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0;Verhuizen;0,192;0,514;0,308;0,222;Vrouw;40 tot 64 jaar;75/25;
Aerschotstraat /  Sint-Niklaas;2022;Lekker centraal en overal dichtbij.;Het hart van de stad;Ik raad het eerder aan om in deze straat te komen wonen;;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Negatief;0,99;Niet verhuizen;0,38;0,38;0,3;0,26;Vrouw;40 tot 64 jaar;75/25;
Albert Dineurlaan /  Schoten;2020;Een schijnbaar rustige straat dichtbij het centrum van Schoten, maar in de praktijk is de straat vrij druk geworden met autoverkeer. Daarnaast verwarmen mensen in de buurt meer dan mij lief is met hout, wat geen bijdrage levert aan een gezonde leefomgeving. Ik zou mensen die - zoals ik - een rustige en gezonde leefomgeving zoeken toch aanraden om 2x na te denken voor ze in mijn straat komen wonen.;Schijnbare rust;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, ...);;;Negatief;0,67288846;Verhuizen;0,63;0,51;0,48;0,47;Man;25 tot 39 jaar;75/25;
Albert Dineurlaan /  Schoten;2021;Ik woon in een aangename, mooie ,groene straat.Ze ligt op wandelafstand van scholen, winkels en de dorpskern.Er wonen lieve, behulpzame buren.Vroeger werd er jaarlijks een boerenmarkt en rommelmarkt georganiseerd.Dat was een gezellige en zeer succesvolle bedoening .Hopelijk neemt een van de nieuwe jonge buren het initiatief om het evenement terug te organiseren.  Omdat onze straat de enige in de omgeving is zonder verkeersremmers wordt ze gebruikt als sluipweg.Hetis er echter nog wel rustig en ik heb niet de indruk dat er vaak te snel gereden wordt.  Sommige buren vinden het er verkeersonveilig omdat het geen erg brede laan is , zonder fiets- of voetpaden .  Onze wijkvereniging stelt alles in het werk om hier een oplossing voor te vinden.  Ik woon graag in onze straat en ik ben zeker niet de enige!  ;Mooie,groene laan.;Ik raad het heel erg aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,85;Niet verhuizen;0,644;0,55;0,75;0,642;Vrouw;+65 jaar;75/25;
Albert Dineurlaan /  Schoten;2022;De straat geeft de indruk rustig te zijn maar is dat â€˜s morgens en â€˜s avonds niet. Door die prachtige uitvinding WAZE is ze een sluipweg geworden. Dat is reeds aangekaart bij de hogere instanties maar zonder gevolg. Verder gaat de straatverlichting uit van 23 uur tot 6 uur â€˜s ochtends. Hetgeen het gevaar voor inbraak uiteraard in de hand werkt. Misschien beter in een verlichte drukke verbindingsweg gaan wonen?;Schijn bedriegt!;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;Het (on)veiligheidsgevoel;;;;Positief;0,75;Niet verhuizen;0,38;0,56;0,35;0,23;Man;+65 jaar;75/25;
Alfons Braeckmanlaan /  Sint-Amandsberg;2020;Opgelet veel sluipverkeer;Geen;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0,004546067;Niet verhuizen;0,35;0,28;0,33;0,13;Vrouw;+65 jaar;50/50;
Alfons Braeckmanlaan /  Sint-Amandsberg;2021;Is landelijk gelegen. Langs 1 kant staan huizen, de andere kant landbouwgrond en weiden.  Ligt evenwijdig met de Antwerpsesteenweg en wordt gebruikt als sluipweg.  Is niet breed genoeg opdat de autoâ€™s elkaar kunnen kruisen dus zijkant vol met putten.  Er is geen fietspad ook geen voetpad.;Blijf weg uit mijn straat;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0;Niet verhuizen;0,298;0,164;0,276;0,114;Vrouw;+65 jaar;75/25;
Alfons Braeckmanlaan /  Sint-Amandsberg;2022;Niet komen, teveel sluitverkeer;Landelijke weg met veel sluipverkeer. ;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);De verkeerssituatie;;;;;;Positief;0,45;Niet verhuizen;0,734;0,6;0,528;0,674;Vrouw;+65 jaar;75/25;
Alfred Oststraat /  Zwijndrecht;2020;Vlak bij openbaar vervoer (voorlopig nog), sluipweg, discounters vlakbij, nog een paar zware jaren voor de boeg door Oosterweelwerken, fijnstofkampioen. Betaalbaar, veilig, relatief rustig.;mixed feelings;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,47007903;Geen mening;0,38;0,56;0,35;0,23;Man;40 tot 64 jaar;100/0;
Alfred Oststraat /  Zwijndrecht;2021;"Sinds Oosterweelwerken (die nog jaren doorgaan) en het sluiten van een op- en afrit in Zwijndrecht, is deze straat een snelweg geworden voor (zwaar) vracht- en werfverkeer.  waar je voordien enkel 's morgens vroeg en in de avondspits wat last had van kleine file vanwege sluipverkeer (afrit Zwijndrecht naar oprit L.O.) kan je nu de hele dag ""genieten"" van druk verkeer dat regelmatig gevaarlijke situaties veroorzaakt....";De teloorgang van een rustige woonstraat...;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;;;;Negatief;0,11;Geen mening;0,25;0,464;0,268;0,146;Man;40 tot 64 jaar;100/0;
Alfred Oststraat /  Zwijndrecht;2022;Pro:  Dicht bij openbaar vervoer en aansluiting stad Antwerpen.  Dicht bij supermarkten.    Contra:  Sinds Oosterweel van start is gegaan en op- en afrit geschrapt/aangepast is straat veranderd in vrachtwagensnelweg waar deze voordien een aangename rustige woonstraat was...  Levensgevaarlijk als fietser  zeker niet aan te raden met kleine kinderen: buiten spelen is taboe!;Hoe een aangename woonstraat veranderde in een vrachtwagensnelweg;Ik raad heel erg af om in mijn straat te komen wonen;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);De verkeerssituatie;;;;;;Geen uitgesproken gevoel;0,3;Verhuizen;0,38;0,56;0,35;0,23;Man;40 tot 64 jaar;100/0;
Amerikalei /  Antwerpen;2020;Positief: bomen voor de deur en Zone 30 op de Ventweg. Op de hoofdbasn zone 50 Veel plaats voor fietsers. Hele brede  straat dus geen inkijk van de overburen.Negatief: veel te veel autoâ€™s die door de lichten regeling  steeds alle voorrang krijgen. Er wordt gemiddeld zeker 80/u gereden waardoor er ook veel geluidsoverlast is. Geen flitspalen of borden ter herhaling van zone 50. Het geeft mij de indruk dat de overheid de overdreven snelheid hierdoor aanmoedigt.;Op de Leien wonen ook mensen.;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0,013274336;Niet verhuizen;0,38;0,38;0,3;0,26;Vrouw;40 tot 64 jaar;100/0;
Amerikalei /  Antwerpen;2021;Om ze te overtuigen: brede straat met bomen, fietspaden, ventweg en snel in- of uit de stad. Aangename buurt.  Minpunt: er wordt bewust nagelaten om de Max snelheid aan te geven waardoor de gemiddelde snelheid  veel te hoog ligt en de verkeerslichten staan afgesteld in functie van de auto.s. Door de te hoge   snelheid veel lawaai en geurhinder( ongezond wonen).;Op de Leuen wonen ook mensen.;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Gemengd gevoel;0,37;Niet verhuizen;0,276;0,544;0,172;0,358;Vrouw;40 tot 64 jaar;100/0;
Amerikalei /  Antwerpen;2022;Het is een heel brede straat met een zone 50 en een ventweg zone 30. Bomen, brede voetpaden en fietspaden. Tram in het midden van de brede straat. Dus redelijk positief.  Nadelig is het drukke verkeer maar het wordt aanzien als een invalsweg en er is veel sluipverkeer.  Om de straat over te steken moet je veel geduld hebben en steeds in 2 keer aangezien je zelf de knopjes moet bedienen en wachten â€¦wachten.. oranj, rood,  en dan wordt er nog doorgereden dus steeds heel goed opletten.  Een aanpassing van de infrastructuur zoals bvb in de Jan Van Rijswijcklaan zou het veel aangenamer kunnen makenâ€¦ herhalingsborden 50 km en flitspalen die werken vanaf 52km.  Oversteektijd verlengen en kortere wachttijd voor groen, dit zou mijn inziens toch wel automatisch mogen anno 2022 vanaf er fietsers of voetgangers aankomen ipv altijd op de knopjes te moeten drukken.  Op de ventwegen zijn nu markeringen aangebracht dat fietsers in beide richtingen mogen, aangezien het merendeel van de chauffeurs het verkeersbord niet kent of heeft gezien.  De roetafzetting op de gevel en deur/ramen zal zeker niet gezond zijn en het drukke dalende vliegverkeer geeft veel geluidsoverlast.  Al bij al is het een aangename straat maar het leven speelt zich vooral achteraan afâ€¦ met een stoeltje aan de voorkant zitten zou ongezond zijnâ€¦De Leien,     ;De Leien, een mooie boulevard, maar er wonen ook mensen;Ik raad het eerder aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);De verkeerssituatie;;;;;;Positief;0,55;Niet verhuizen;0,106;0,3;0,454;0,25;Vrouw;40 tot 64 jaar;100/0;
Antoon Van Dyckstraat /  Gentbrugge;2020;Goede samenhang tussen de buren, verschillende initiatieven in de straat ter bevordering van de sfeer in de straat. Kleine straat, geen zwaar vervoer in de straat.;Kleine straat;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Positief;0,4921611;Niet verhuizen;0,38;0,68;0,76;0,61;Man;40 tot 64 jaar;75/25;
Antoon Van Dyckstraat /  Gentbrugge;2021;/;Verhaal zonder titel;Ik heb geen uitgesproken mening;;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,3;Niet verhuizen;0,37;0,68;0,61;0,64;Vrouw;40 tot 64 jaar;25/75;
Antoon Van Dyckstraat /  Gentbrugge;2022;het is een vrij rustige straat, weinig geluidsoverlast, want het is geen verbindingsweg. Er wonen veel jonge mensen met kinderen en ook met sommige oudere buren is er een fijn contact.  Er wordt veel buiten gespeeld. In de zomer is het speelstraat.;welkom :-);Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Positief;0,2607422;Niet verhuizen;0,13;0,49;0,62;0,52;Vrouw;25 tot 39 jaar;100/0;
Appelstraat /  Borgerhout;2020;"Best wel veel jonge gezinnen met kinderen, paar fijne buren die concrete projecten ondernemen om verbinding te doen ontstaan. Er wordt soms wel erg snel gereden / geracet. Straat ligt er ondanks regelmatige poetsbeurt vaak vuil bij.";Borgerrio;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Gemengd gevoel;0,3046611;Niet verhuizen;0,21;0,38;0,3;0,33;Man;40 tot 64 jaar;25/75;
Appelstraat /  Borgerhout;2021;Sinds er een aantal veranderingen zijn doorgevoerd in de omliggende straten is de Appelstraat helaas een sluipweg naar de Singel en de Plantin en Moretuslei toe geworden. De straat is dus veel drukker geworden en er wordt te snel gereden. Een groepje bewonders doet zijn best om er met geveltuintjes, beplanting van boomspiegels, deelnemen aan lentepoets enzovoort iets van te maken, maar eigenlijk is de straat te druk om dit echt te doen slagen. Bovendien zijn er plannen om in de buurt een groot complex met onder andere appartementen en een supermarkt te bouwen. Hiertegen is verzet van de buren uit de omliggende straten maar als dat er komt gaat de verkeersdruk nog toenemen. Onze straat zou een fijne woonstraat kunnen zijn met een ideale ligging, maar dan zou het sluipverkeer efficiÃ«nt geweerd moeten worden Ã©n er zou wat moeten gedaan worden aan de snelheid waarmee de auto's door de straat razen. ;Onze straat is een sluipweg geworden;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;;;;Negatief;0,54;Niet verhuizen;0,276;0,41;0,344;0,41;Vrouw;40 tot 64 jaar;25/75;
Appelstraat /  Borgerhout;2022;"niet overtuigen : te druk , een echte doorgangsstraat...ook wordt er te snel gereden....  2 scholen en  de roma is van het ""goede "" teveel.  parkeerdruk...., zwerfvuil... , geen samenhorigheid....nauwelijks contact en zeer oppervlakkig...  geen initiatieven om aan bv zwerfvuil en sluikstorten iets te doen......  ";van een leefbare straat naar onleefbaar tenzij je tuin.....;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Gemengd gevoel;0,89;Verhuizen;0,49;0,47;0,5;0,22;Man;+65 jaar;25/75;
Archimedeslaan /  Edegem;2020;Niet komen wonen, veel verkeer, weinig parkeergelegenheid voor de bewoners;Archimedes;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;;;;Positief;0,107027;Geen mening;0,39;0,31;0,62;0,2;Man;40 tot 64 jaar;50/50;
Archimedeslaan /  Edegem;2021;Onze straat is de laatste op het grondgebied Edegem, op de grens met Kontich.  Daardoor wordt de straat al te graag gebruikt als sluikweg voor wie het centrum wil vermijden. Behoorlijk druk met momenten!  Maar, doordat de eengezinswoningen een tuin zuidwaarts gericht hebben is het aangenaam vertoeven in de tuin met zicht op de groene Edegemse beekvallei, die hopelijk voor altijd deel zal uitmaken van de open ruiten in de Zuidrand van Antwerpen.  Helaas hebben wij veel geluidshinder van de E19, vooral bij westen en zuidwestenwind.  Scholen zijn dichtbij, supermarkten zijn met de fiets bereikbaar en openbaar vervoer naar Antwerpen is geen probleem.;Aan de rand van de mooie groene Zuidrand.;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Geen uitgesproken gevoel;0,16;Niet verhuizen;0,332;0,412;0,332;0,258;Vrouw;+65 jaar;75/25;
Archimedeslaan /  Edegem;2022;De straatkant aan de zijde van Kontich geeft nog een mooi, groen en rustig gevoel in de tuinen van de Ã©Ã©n gezinswoningen... ware het niet dat de E19 vreselijk veel geluidshinder veroorzaakt. Zo erg dat het vaak onmogelijk wordt om met het raam open te slapen, en zoals we allen weten is een rustige nacht belangrijk voor de gezondheid. De geurhinder vanuit het westen (Hoboken/ Wilrijk verbrandingsoven) is er niet constant, maar Hansen Transmission of hoe deze fabriek ook heet tegenwoordig, bezorgt geregeld een walm van (oververhitte?) oliegeur.   Het lawaai van feesten op de sportvelden en 3 weekeinden in juli Tomorrowland moeten we er helaas bijnemen.  Doordat onze straat afhelt vanaf de Kontichstraat 'vliegen' er hier nogal wat snelheidsduivels voorbij. Omgekeerd geven gelijkaardige lui vertrekkend van onderaan in de straat, behoorlijk wat gas om de 'helling' op te geraken. De 30 km/uur in woonzone wordt hier niet gerespecteerd. Er zijn immers ook geen hindernissen meer op het rechtlijnige stuk van de straat.   Kinderen kunnen hier echt niet op straat niet om te spelen niet om te fietsen. Gelukkig is er een speelpleintje aan de August Coolslaan. Ergens onderweg zou een zitbank niet misstaan. Dat zou gerust kunnen in de voortuintjes van de appartementsblok want daar staan toch niet veel planten. Het contact met overburen is minimaal, wat zitplekjes in de straat zou hier wat verandering in kunnen brengen. Zo is er ook een weinig gebruikte parking onderaan de straat waar zeker wat beton weg zou kunnen en vervangen worden door groen en enkele banken. Enkele fietsstallingen aan de kant van het appartementsgebouw zouden de bewoners misschien stimuleren om wat meer de fiets te nemen en hun fietsen op een ordentelijke manier te stallen.;Slaapstraat, voor verbetering vatbaar.;Ik heb geen uitgesproken mening;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);De verkeerssituatie;;;;;;Positief;0,34;Niet verhuizen;0,38;0,56;0,35;0,23;Vrouw;+65 jaar;100/0;
Audenhovenlaan /  Boortmeerbeek;2020;dKom er niet wonen,teveel sluipverkeer,lawaai of zelfs verkeersagressie.;Straat of autosnelweg?;Ik raad heel erg af om in mijn straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0;Verhuizen;0,102;0,306;0,35;0,104;Man;40 tot 64 jaar;100/0;
